"sNR","SIF","SSRT","propslope","ROI","run1","run2","run3","run4","run5","run6","run7","run8","X","sid"
1,0.079861111,295.1300813,-0.11,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2,0.035897436,402.4227642,-0.045,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
3,0.159191176,367.9818182,-0.125,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
4,0.194444444,288.9256198,-0.555,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
5,0.075,296.7226891,-0.035,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
6,-0.027777778,400.1621622,0.015,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
7,-0.003508772,307.0630631,-0.005,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
8,-0.021428571,318.9047619,0.05,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,8
9,-0.177083333,443.1415094,0.08,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
10,0.044444444,282.826087,-0.06,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
11,0.216666667,314.9083969,-0.085,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,11
12,0.15530303,371.76,-0.03,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
13,0.088888889,271.2377049,-0.095,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,13
14,-0.022321429,351.0661765,0.735,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,14
15,0.195138889,296.6779661,-0.3,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,15
16,-0.027777778,341.4552846,0.01,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,16
17,0.068421053,347,-0.07,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,17
18,0.029824561,353.7479675,-0.08,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
19,-0.012820513,357.1908397,0.07614406,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
20,-0.035714286,465.5614035,-0.025,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
21,-0.003968254,384.1367521,0.79,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,21
22,0.085227273,332.75,-0.53,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,22
23,0.104166667,360.5882353,-0.05,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,23
24,-0.036210317,408.907563,0.005,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,24
1,0.079861111,295.1300813,0.0196567,"HC",0.472527473,0.956043956,1,0,0.285714286,0,0.978021978,0.956043956,NA,1
2,0.035897436,402.4227642,0.201298701,"HC",0.289473684,0.905263158,0.126315789,0.005263158,0.8,0.973684211,0.273684211,0.963157895,NA,2
3,0.159191176,367.9818182,-0.015564551,"HC",0.997,0.0555,0.0195,0,0,0.9415,0.268,NA,NA,3
4,0.194444444,288.9256198,0.003571429,"HC",1,0,0.2,0,0,1,0,0.7,NA,4
5,0.075,296.7226891,-0.023556615,"HC",0,0,0.75,0,0.75,0,1,0,NA,5
6,-0.027777778,400.1621622,-0.080472499,"HC",0.8385,0.756,0.088,0.9845,0.819,0.95,0.3115,5e-04,NA,6
7,-0.003508772,307.0630631,-0.037301587,"HC",0.392156863,0.986928105,0.039215686,0.333333333,0.209150327,0,1,0.241830065,NA,7
